STATE,FL_INT,PRES_INT,PRES_EXT,PRES_PAC,Flow,VOLUME,VALVE_INS,REF
4,0,9.55,-0.44,7.15,19.48,4.99,0,0
4,0,9.02,-0.44,6.78,18.13,4.99,0,0
4,0,8.52,-0.44,6.43,16.76,4.99,0,0
4,0,8.13,-0.44,6.13,15.76,4.99,0,0
4,0,7.73,-0.44,5.86,14.89,4.99,0,0
4,0,7.37,-0.44,5.6,14.06,4.99,0,0
4,0,7.09,-0.44,5.39,13.34,4.99,0,0
4,0,6.81,-0.44,5.2,12.93,4.99,0,0
4,0,6.57,-0.44,5.02,12.61,4.99,0,0
4,0,6.37,-0.44,4.82,12.32,4.99,0,0
4,0,6.16,-0.44,4.64,11.95,4.99,0,0
4,0,5.97,-0.44,4.47,11.52,4.99,0,0
4,0,5.8,-0.44,4.32,11.05,5,0,0
4,0,5.61,-0.44,4.18,10.81,5,0,0
4,0,5.43,-0.44,4.09,10.8,5,0,0
4,0,5.27,-0.44,4.01,10.4,5,0,0
4,0,5.12,-0.44,3.9,10.05,5,0,0
4,0,4.97,-0.44,3.82,10.01,5,0,0
4,0,4.83,-0.44,3.73,9.91,5,0,0
4,0,4.69,-0.44,3.63,9.62,5,0,0
4,0,4.55,-0.44,3.52,8.8,5,0,0
4,0,4.41,-0.44,3.42,8.26,5,0,0
4,0,4.28,-0.44,3.32,7.78,5,0,0
4,0,4.14,-0.44,3.21,6.71,5,0,0
4,0,4,-0.44,3.11,6.22,5,0,0
4,0,3.87,-0.44,3.01,6.3,5,0,0
4,0,3.73,-0.44,2.9,6.09,5,0,0
4,0,3.59,-0.44,2.8,5.8,5,0,0
4,0,3.47,-0.44,2.7,4.97,5,0,0
4,0,3.33,-0.44,2.61,4.58,5,0,0
4,0,3.21,-0.44,2.5,4.44,5,0,0
4,0,3.1,-0.44,2.43,4.55,5,0,0
4,0,2.99,-0.44,2.35,3.97,5,0,0
4,0,2.88,-0.44,2.26,2.45,5,0,0
4,0,2.76,-0.44,2.16,1.59,5,0,0
4,0,2.64,-0.44,2.06,1.14,5,0,0
4,0,2.48,-0.44,1.94,-0.42,5,0,0
4,0,2.35,-0.44,1.82,-1.96,5,0,0
4,0,2.22,-0.44,1.71,-2.94,5,0,0
4,0,2.09,-0.44,1.61,-3.78,5,0,0
4,0,1.95,-0.44,1.49,-4.44,5,0,0
4,0,1.83,-0.44,1.39,-5.36,5,0,0
4,0,1.72,-0.44,1.28,-6.06,5,0,0
4,0,1.6,-0.44,1.18,-6.52,5,0,0
4,0,1.48,-0.44,1.08,-6.95,5,0,0
4,0,1.38,-0.44,0.96,-7.66,5,0,0
4,0,1.26,-0.44,0.86,-7.71,5,0,0
4,0,1.14,-0.44,0.79,-7.87,5,0,0
4,0,1.03,-0.44,0.72,-8.04,5,0,0
4,0,0.92,-0.44,0.64,-8.06,5,0,0
4,0,0.82,-0.44,0.56,-8.18,5,0,0
1,0,0.7,-0.44,0.48,-8.49,5,0,0
1,0,0.86,-0.44,0.62,-4.47,5,5,10
1,0,0.9,-0.44,0.69,-0.96,5,10,10
1,0,1.03,-0.44,0.79,2.72,5,15,10
